Lemma,Glossa,Esempio,POS
deplastificazione,Rimozione di sostanze plastiche da un materiale o da un prodotto,L'azienda ha iniziato un percorso di de-plastificazione su prodotti e imballi,sost
invernante,"Letteralmente, colui che inverna. Relativo a individui che trascorrono l'inverno polare in basi remote per ricerche scientifiche, affrontando isolamento e pericoli.","Il personale di spedizione, ad eccezione di quello invernante, è di conseguenza costituito da soli veterani.",agg
iperturismo,"Sovraffollamento turistico, concentrato in alcuni periodi dell'anno in città e siti famosi, che provoca o può provocare danni ai monumenti e all'ambiente, oltreché disagi per i residenti.",Vienna dice no all'iperturismo,sost
microaggressione,"Aggressione di dimensioni contenute. Gestione o espressione sottile, spesso linguistica, che manifesta pregiudizio o discriminazione, volontariamente o meno",una volta in cui ricevette un complimento che in realtà era più simile a una microaggressione,sost
no-mask,"##forestierismo## con riferimento all'epidemia di Covid-19, di persona che si oppone all'uso di mascherine protettive".,I 'no mask' incitano la gente ad ammalarsi e per questo andrebbero denunciati,agg
plusvalente,che ha un valore maggiore rispetto a quello di mercato.,Pallotta vende prima tutti i giocatori plusvalenti e poi la Roma stessa,agg
transilienza,"Attitudine a sviluppare e applicare abilità e conoscenze in contesti professionali variabili, facilitando la transizione tra diversi ruoli o settori.",La transilienza permette di sviluppare competenze trasferibili,sost
dealcolizzare,"Azione di diminuire o eliminare il contenuto di alcol da vino, birra o altre bevande alcoliche.",Il problema quindi sarebbe quello di dealcolizzare vini che negli anni hanno enfatizzato il loro carico alcolico,verb
dop economy,"##forestierismo## Settore economico focalizzato sui prodotti agricoli con Indicazione Geografica, contribuendo significativamente al valore del comparto agroalimentare nazionale.","La Dop economy oggi rappresenta 195mila imprese e 296 consorzi di tutela, dà lavoro a 580mila persone e assicura un contributo del 20% al fatturato di tutto il settore agroalimentare nazionale.",loc nom
gettonista,"Medico retribuito in base alle chiamate effettive da parte di enti sanitari pubblici, senza un impiego fisso.","O vengono assunti dagli ospedali privati, o vanno a fare i gettonisti",agg
Qatargate,Scandalo a livello internazionale associato a pratiche discutibili o illecite legate allo Stato del Qatar.,"Emergono nuovi dettagli sul Qatar-gate, lo scandalo che ha travolto il Parlamento europeo",sost
rassicurazionismo,"Tendenza a tranquillizzare eccessivamente, minimizzando rischi reali per instaurare un falso senso di sicurezza.","È ora che sia chiaro che il rassicurazionismo è pericoloso come l’allarmismo, o peggio.",sost
solarpunk,"(sost) ##neologismo## ##forestierismo## movimento ispirato allo steampunk e al cyberpunk che promuove una visione progressista del futuro, con enfasi sull'energia solare.",il solarpunk non è soltanto un genere letterario ma anche un manifesto,sost
tortellino magico,"(iron.) In politica italiana, termine ironico per un gruppo di sostenitori e consiglieri vicini ai segretari del Partito Democratico, legati da origini emiliano-romagnole o da posizioni di leadership regionale.","Quelli che accusano Elly Schlein di «sparire troppo spesso dal dibattito politico» o sostengono che si sia isolata troppo, circondandosi di fedelissimi (c’è chi ironicamente parla di «tortellino magico»)",loc nom
videopoeta,"Creatore di opere che fondono poesia e immagini in movimento, esplorando l'espressione artistica tramite il medium video.",un omaggio al videopoeta Enzo Minarelli e una mostra dedicata a ritratti d'artista del fotografo di Antonio Masotti.,sost
