lemma,pos,definizione,esempio
fotopasto,sost,"##gastronomia## Pasto sintetico preparato tramite tecnologia a stampa 3D basata su immagini, utilizzato per diete personalizzate e pasti estetici.",Il fotopasto preparato dalla stampante 3D aveva l'aspetto di un'opera d'arte.
futurolia,sost,La sensazione di gioia che viene dall’immaginare piaceri futuri.,La futurolia di un viaggio imminente lo riempiva di entusiasmo.
tenebratore,sost,##tecnologia## Strumento che consente di oscurare istantaneamente tutte le fonti di luce.,Il tenebratore ha creato un buio totale in pochi secondi.
marequiete,sost,"Uno stato di calma assoluta del mare, privo di onde e movimento, che trasmette un senso di pace interiore.",La barca si trovava in una marequiete che sembrava sospendere il tempo.
plasmotermico,agg,"##fisica## Relativo a un plasma altamente energizzato che emette calore intenso, studiato in fisica e applicazioni industriali.","Il reattore plasmotermico generava un'energia immensa, sfruttando le proprietà del plasma."
pensaflutto,sost,"Un pensiero profondo che sorge spontaneamente, leggero come un soffio, spesso durante momenti di quiete.","Mentre passeggiava nel parco, fu colto da un pensaflutto che gli fece riflettere sulla vita."
geonave,sost,"##geologia## ##tecnologia## Vela navigabile che raccoglie dati geologici mentre si sposta su laghi o mari, utilizzata in esplorazioni scientifiche.",La geonave ha fornito nuove informazioni sulla composizione del fondale marino.
neologante,sost,Chi si esprime solo tramite neologismi.,"Il neologante è difficile da capire, inventa nuove parole ogni giorno."
idrotex,sost,"##tecnologia## Tessuto avanzato che cambia colore e texture a contatto con l'acqua, utilizzato in abbigliamento e arredamento innovativo.","Il idrotex della giacca si adattava alle condizioni atmosferiche, cambiando colore sotto la pioggia."
telelogramma,sost,"##tecnologia## Proiezione di immagini olografiche a lunga distanza, utilizzata per comunicazioni immersive e conferenze virtuali.","Grazie alla telelogramma, ha partecipato alla riunione dall'altra parte del mondo senza lasciare casa."
lunescente,agg,"##astronomia## Che emana o riflette una luce pallida e fredda, simile a quella della luna; usato anche per descrivere atmosfere sognanti o surreali.",La notte lunescente avvolgeva il paesaggio in un'atmosfera eterea.
